Institution,Academic_Year,Level,Domicile,Field_of_Study,Enrolments
University College Cork,2024,All,All,"Business, administration and law",3930
,2024,All,All,"Business, administration and law",3930
University College Dublin,2024,All,All,"Business, administration and law",6340
,2024,All,All,"Business, administration and law",6340
University of Galway,2024,All,All,"Business, administration and law",3880
,2024,All,All,"Business, administration and law",3880
University of Limerick,2024,All,All,"Business, administration and law",4270
,2024,All,All,"Business, administration and law",4270
TOTAL,2024,All,All,"Business, administration and law",58240
ATU Donegal,2024,All,All,Education,70
ATU Galway-Mayo,2024,All,All,Education,455
ATU Sligo,2024,All,All,Education,35
,2024,All,All,Education,565
Dublin City University,2024,All,All,Education,4290
,2024,All,All,Education,4290
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,Education,0
,2024,All,All,Education,0
Dundalk IT,2024,All,All,Education,40
,2024,All,All,Education,40
"Mary Immaculate College, Limerick",2024,All,All,Education,3765
,2024,All,All,Education,3765
Maynooth University,2024,All,All,Education,1510
,2024,All,All,Education,1510
MTU Cork,2024,All,All,Education,255
MTU Kerry,2024,All,All,Education,0
,2024,All,All,Education,255
National College of Art and Design,2024,All,All,Education,155
,2024,All,All,Education,155
National College of Ireland,2024,All,All,Education,235
,2024,All,All,Education,235
Royal College of Surgeons,2024,All,All,Education,0
,2024,All,All,Education,0
SETU Carlow,2024,All,All,Education,140
SETU Waterford,2024,All,All,Education,160
,2024,All,All,Education,300
"St. Angelas College of Home Economics, Sligo",2024,All,All,Education,855
,2024,All,All,Education,855
TU Dublin Blanchardstown,2024,All,All,Education,0
TU Dublin City,2024,All,All,Education,190
TU Dublin Tallaght,2024,All,All,Education,155
,2024,All,All,Education,345
TUS Athlone,2024,All,All,Education,140
TUS Limerick,2024,All,All,Education,145
,2024,All,All,Education,285
Trinity College Dublin,2024,All,All,Education,490
,2024,All,All,Education,490
University College Cork,2024,All,All,Education,910
,2024,All,All,Education,910
University College Dublin,2024,All,All,Education,2125
,2024,All,All,Education,2125
University of Galway,2024,All,All,Education,560
,2024,All,All,Education,560
University of Limerick,2024,All,All,Education,1865
,2024,All,All,Education,1865
TOTAL,2024,All,All,Education,18565
ATU Donegal,2024,All,All,"Engineering, manufacturing and construction",635
ATU Galway-Mayo,2024,All,All,"Engineering, manufacturing and construction",1820
ATU Sligo,2024,All,All,"Engineering, manufacturing and construction",2815
,2024,All,All,"Engineering, manufacturing and construction",5270
Dublin City University,2024,All,All,"Engineering, manufacturing and construction",1230
,2024,All,All,"Engineering, manufacturing and construction",1230
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,"Engineering, manufacturing and construction",0
,2024,All,All,"Engineering, manufacturing and construction",0
Dundalk IT,2024,All,All,"Engineering, manufacturing and construction",1000
,2024,All,All,"Engineering, manufacturing and construction",1000
"Mary Immaculate College, Limerick",2024,All,All,"Engineering, manufacturing and construction",0
,2024,All,All,"Engineering, manufacturing and construction",0
Maynooth University,2024,All,All,"Engineering, manufacturing and construction",380
,2024,All,All,"Engineering, manufacturing and construction",380
MTU Cork,2024,All,All,"Engineering, manufacturing and construction",3160
MTU Kerry,2024,All,All,"Engineering, manufacturing and construction",445
,2024,All,All,"Engineering, manufacturing and construction",3610
National College of Art and Design,2024,All,All,"Engineering, manufacturing and construction",0
,2024,All,All,"Engineering, manufacturing and construction",0
National College of Ireland,2024,All,All,"Engineering, manufacturing and construction",0
,2024,All,All,"Engineering, manufacturing and construction",0
Royal College of Surgeons,2024,All,All,"Engineering, manufacturing and construction",0
,2024,All,All,"Engineering, manufacturing and construction",0
SETU Carlow,2024,All,All,"Engineering, manufacturing and construction",1090
SETU Waterford,2024,All,All,"Engineering, manufacturing and construction",1360
,2024,All,All,"Engineering, manufacturing and construction",2450
"St. Angelas College of Home Economics, Sligo",2024,All,All,"Engineering, manufacturing and construction",0
,2024,All,All,"Engineering, manufacturing and construction",0
TU Dublin Blanchardstown,2024,All,All,"Engineering, manufacturing and construction",405
TU Dublin City,2024,All,All,"Engineering, manufacturing and construction",4800
TU Dublin Tallaght,2024,All,All,"Engineering, manufacturing and construction",795
,2024,All,All,"Engineering, manufacturing and construction",6000
TUS Athlone,2024,All,All,"Engineering, manufacturing and construction",865
TUS Limerick,2024,All,All,"Engineering, manufacturing and construction",2365
,2024,All,All,"Engineering, manufacturing and construction",3230
Trinity College Dublin,2024,All,All,"Engineering, manufacturing and construction",1585
,2024,All,All,"Engineering, manufacturing and construction",1585
University College Cork,2024,All,All,"Engineering, manufacturing and construction",1690
,2024,All,All,"Engineering, manufacturing and construction",1690
University College Dublin,2024,All,All,"Engineering, manufacturing and construction",3225
,2024,All,All,"Engineering, manufacturing and construction",3225
University of Galway,2024,All,All,"Engineering, manufacturing and construction",1895
,2024,All,All,"Engineering, manufacturing and construction",1895
University of Limerick,2024,All,All,"Engineering, manufacturing and construction",3095
,2024,All,All,"Engineering, manufacturing and construction",3095
TOTAL,2024,All,All,"Engineering, manufacturing and construction",34650
ATU Donegal,2024,All,All,Generic programmes and qualifications,725
ATU Galway-Mayo,2024,All,All,Generic programmes and qualifications,25
ATU Sligo,2024,All,All,Generic programmes and qualifications,10
,2024,All,All,Generic programmes and qualifications,760
Dublin City University,2024,All,All,Generic programmes and qualifications,65
,2024,All,All,Generic programmes and qualifications,65
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,Generic programmes and qualifications,20
,2024,All,All,Generic programmes and qualifications,20
Dundalk IT,2024,All,All,Generic programmes and qualifications,0
,2024,All,All,Generic programmes and qualifications,0
"Mary Immaculate College, Limerick",2024,All,All,Generic programmes and qualifications,95
,2024,All,All,Generic programmes and qualifications,95
Maynooth University,2024,All,All,Generic programmes and qualifications,20
,2024,All,All,Generic programmes and qualifications,20
MTU Cork,2024,All,All,Generic programmes and qualifications,30
MTU Kerry,2024,All,All,Generic programmes and qualifications,100
,2024,All,All,Generic programmes and qualifications,130
National College of Art and Design,2024,All,All,Generic programmes and qualifications,0
,2024,All,All,Generic programmes and qualifications,0
National College of Ireland,2024,All,All,Generic programmes and qualifications,0
,2024,All,All,Generic programmes and qualifications,0
Royal College of Surgeons,2024,All,All,Generic programmes and qualifications,0
,2024,All,All,Generic programmes and qualifications,0
SETU Carlow,2024,All,All,Generic programmes and qualifications,20
SETU Waterford,2024,All,All,Generic programmes and qualifications,150
,2024,All,All,Generic programmes and qualifications,170
"St. Angelas College of Home Economics, Sligo",2024,All,All,Generic programmes and qualifications,0
,2024,All,All,Generic programmes and qualifications,0
TU Dublin Blanchardstown,2024,All,All,Generic programmes and qualifications,0
TU Dublin City,2024,All,All,Generic programmes and qualifications,185
TU Dublin Tallaght,2024,All,All,Generic programmes and qualifications,270
,2024,All,All,Generic programmes and qualifications,460
TUS Athlone,2024,All,All,Generic programmes and qualifications,15
TUS Limerick,2024,All,All,Generic programmes and qualifications,105
,2024,All,All,Generic programmes and qualifications,120
Trinity College Dublin,2024,All,All,Generic programmes and qualifications,315
,2024,All,All,Generic programmes and qualifications,315
University College Cork,2024,All,All,Generic programmes and qualifications,0
,2024,All,All,Generic programmes and qualifications,0
University College Dublin,2024,All,All,Generic programmes and qualifications,285
,2024,All,All,Generic programmes and qualifications,285
University of Galway,2024,All,All,Generic programmes and qualifications,90
,2024,All,All,Generic programmes and qualifications,90
University of Limerick,2024,All,All,Generic programmes and qualifications,385
,2024,All,All,Generic programmes and qualifications,385
TOTAL,2024,All,All,Generic programmes and qualifications,2910
ATU Donegal,2024,All,All,Health and welfare,935
ATU Galway-Mayo,2024,All,All,Health and welfare,650
ATU Sligo,2024,All,All,Health and welfare,1075
,2024,All,All,Health and welfare,2660
Dublin City University,2024,All,All,Health and welfare,1915
,2024,All,All,Health and welfare,1915
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,Health and welfare,0
,2024,All,All,Health and welfare,0
Dundalk IT,2024,All,All,Health and welfare,1230
,2024,All,All,Health and welfare,1230
"Mary Immaculate College, Limerick",2024,All,All,Health and welfare,0
,2024,All,All,Health and welfare,0
Maynooth University,2024,All,All,Health and welfare,310
,2024,All,All,Health and welfare,310
MTU Cork,2024,All,All,Health and welfare,815
MTU Kerry,2024,All,All,Health and welfare,1070
,2024,All,All,Health and welfare,1880
National College of Art and Design,2024,All,All,Health and welfare,0
,2024,All,All,Health and welfare,0
National College of Ireland,2024,All,All,Health and welfare,0
,2024,All,All,Health and welfare,0
Royal College of Surgeons,2024,All,All,Health and welfare,5670
,2024,All,All,Health and welfare,5670
SETU Carlow,2024,All,All,Health and welfare,1220
SETU Waterford,2024,All,All,Health and welfare,1420
,2024,All,All,Health and welfare,2640
"St. Angelas College of Home Economics, Sligo",2024,All,All,Health and welfare,415
,2024,All,All,Health and welfare,415
TU Dublin Blanchardstown,2024,All,All,Health and welfare,405
TU Dublin City,2024,All,All,Health and welfare,1065
TU Dublin Tallaght,2024,All,All,Health and welfare,195
,2024,All,All,Health and welfare,1670
TUS Athlone,2024,All,All,Health and welfare,1345
TUS Limerick,2024,All,All,Health and welfare,625
,2024,All,All,Health and welfare,1970
Trinity College Dublin,2024,All,All,Health and welfare,5315
,2024,All,All,Health and welfare,5315
University College Cork,2024,All,All,Health and welfare,7040
,2024,All,All,Health and welfare,7040
University College Dublin,2024,All,All,Health and welfare,6980
,2024,All,All,Health and welfare,6980
University of Galway,2024,All,All,Health and welfare,3890
,2024,All,All,Health and welfare,3890
University of Limerick,2024,All,All,Health and welfare,2725
,2024,All,All,Health and welfare,2725
TOTAL,2024,All,All,Health and welfare,46315
ATU Donegal,2024,All,All,Information and Communication Technologies (ICTs),915
ATU Galway-Mayo,2024,All,All,Information and Communication Technologies (ICTs),1345
ATU Sligo,2024,All,All,Information and Communication Technologies (ICTs),395
,2024,All,All,Information and Communication Technologies (ICTs),2655
Dublin City University,2024,All,All,Information and Communication Technologies (ICTs),1465
,2024,All,All,Information and Communication Technologies (ICTs),1465
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,Information and Communication Technologies (ICTs),160
,2024,All,All,Information and Communication Technologies (ICTs),160
Dundalk IT,2024,All,All,Information and Communication Technologies (ICTs),700
,2024,All,All,Information and Communication Technologies (ICTs),700
"Mary Immaculate College, Limerick",2024,All,All,Information and Communication Technologies (ICTs),0
,2024,All,All,Information and Communication Technologies (ICTs),0
Maynooth University,2024,All,All,Information and Communication Technologies (ICTs),1045
,2024,All,All,Information and Communication Technologies (ICTs),1045
MTU Cork,2024,All,All,Information and Communication Technologies (ICTs),1075
MTU Kerry,2024,All,All,Information and Communication Technologies (ICTs),150
,2024,All,All,Information and Communication Technologies (ICTs),1225
National College of Art and Design,2024,All,All,Information and Communication Technologies (ICTs),40
,2024,All,All,Information and Communication Technologies (ICTs),40
National College of Ireland,2024,All,All,Information and Communication Technologies (ICTs),2950
,2024,All,All,Information and Communication Technologies (ICTs),2950
Royal College of Surgeons,2024,All,All,Information and Communication Technologies (ICTs),0
,2024,All,All,Information and Communication Technologies (ICTs),0
SETU Carlow,2024,All,All,Information and Communication Technologies (ICTs),750
SETU Waterford,2024,All,All,Information and Communication Technologies (ICTs),840
,2024,All,All,Information and Communication Technologies (ICTs),1590
"St. Angelas College of Home Economics, Sligo",2024,All,All,Information and Communication Technologies (ICTs),0
,2024,All,All,Information and Communication Technologies (ICTs),0
TU Dublin Blanchardstown,2024,All,All,Information and Communication Technologies (ICTs),855
TU Dublin City,2024,All,All,Information and Communication Technologies (ICTs),1585
TU Dublin Tallaght,2024,All,All,Information and Communication Technologies (ICTs),775
,2024,All,All,Information and Communication Technologies (ICTs),3210
TUS Athlone,2024,All,All,Information and Communication Technologies (ICTs),670
TUS Limerick,2024,All,All,Information and Communication Technologies (ICTs),515
,2024,All,All,Information and Communication Technologies (ICTs),1185
Trinity College Dublin,2024,All,All,Information and Communication Technologies (ICTs),1185
,2024,All,All,Information and Communication Technologies (ICTs),1185
University College Cork,2024,All,All,Information and Communication Technologies (ICTs),1450
,2024,All,All,Information and Communication Technologies (ICTs),1450
University College Dublin,2024,All,All,Information and Communication Technologies (ICTs),1590
,2024,All,All,Information and Communication Technologies (ICTs),1590
University of Galway,2024,All,All,Information and Communication Technologies (ICTs),780
,2024,All,All,Information and Communication Technologies (ICTs),780
University of Limerick,2024,All,All,Information and Communication Technologies (ICTs),1275
,2024,All,All,Information and Communication Technologies (ICTs),1275
TOTAL,2024,All,All,Information and Communication Technologies (ICTs),22495
ATU Donegal,2024,All,All,"Natural sciences, mathematics and statistics",135
ATU Galway-Mayo,2024,All,All,"Natural sciences, mathematics and statistics",1020
ATU Sligo,2024,All,All,"Natural sciences, mathematics and statistics",1535
,2024,All,All,"Natural sciences, mathematics and statistics",2690
Dublin City University,2024,All,All,"Natural sciences, mathematics and statistics",1790
,2024,All,All,"Natural sciences, mathematics and statistics",1790
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,"Natural sciences, mathematics and statistics",15
,2024,All,All,"Natural sciences, mathematics and statistics",15
Dundalk IT,2024,All,All,"Natural sciences, mathematics and statistics",170
,2024,All,All,"Natural sciences, mathematics and statistics",170
"Mary Immaculate College, Limerick",2024,All,All,"Natural sciences, mathematics and statistics",10
,2024,All,All,"Natural sciences, mathematics and statistics",10
Maynooth University,2024,All,All,"Natural sciences, mathematics and statistics",2140
,2024,All,All,"Natural sciences, mathematics and statistics",2140
MTU Cork,2024,All,All,"Natural sciences, mathematics and statistics",1385
MTU Kerry,2024,All,All,"Natural sciences, mathematics and statistics",465
,2024,All,All,"Natural sciences, mathematics and statistics",1850
National College of Art and Design,2024,All,All,"Natural sciences, mathematics and statistics",0
,2024,All,All,"Natural sciences, mathematics and statistics",0
National College of Ireland,2024,All,All,"Natural sciences, mathematics and statistics",0
,2024,All,All,"Natural sciences, mathematics and statistics",0
Royal College of Surgeons,2024,All,All,"Natural sciences, mathematics and statistics",0
,2024,All,All,"Natural sciences, mathematics and statistics",0
SETU Carlow,2024,All,All,"Natural sciences, mathematics and statistics",290
SETU Waterford,2024,All,All,"Natural sciences, mathematics and statistics",515
,2024,All,All,"Natural sciences, mathematics and statistics",805
"St. Angelas College of Home Economics, Sligo",2024,All,All,"Natural sciences, mathematics and statistics",135
,2024,All,All,"Natural sciences, mathematics and statistics",135
TU Dublin Blanchardstown,2024,All,All,"Natural sciences, mathematics and statistics",0
TU Dublin City,2024,All,All,"Natural sciences, mathematics and statistics",1600
TU Dublin Tallaght,2024,All,All,"Natural sciences, mathematics and statistics",1450
,2024,All,All,"Natural sciences, mathematics and statistics",3050
TUS Athlone,2024,All,All,"Natural sciences, mathematics and statistics",410
TUS Limerick,2024,All,All,"Natural sciences, mathematics and statistics",480
,2024,All,All,"Natural sciences, mathematics and statistics",890
Trinity College Dublin,2024,All,All,"Natural sciences, mathematics and statistics",2950
,2024,All,All,"Natural sciences, mathematics and statistics",2950
University College Cork,2024,All,All,"Natural sciences, mathematics and statistics",3435
,2024,All,All,"Natural sciences, mathematics and statistics",3435
University College Dublin,2024,All,All,"Natural sciences, mathematics and statistics",3960
,2024,All,All,"Natural sciences, mathematics and statistics",3960
University of Galway,2024,All,All,"Natural sciences, mathematics and statistics",2930
,2024,All,All,"Natural sciences, mathematics and statistics",2930
University of Limerick,2024,All,All,"Natural sciences, mathematics and statistics",1700
,2024,All,All,"Natural sciences, mathematics and statistics",1700
TOTAL,2024,All,All,"Natural sciences, mathematics and statistics",28510
ATU Donegal,2024,All,All,Services,455
ATU Galway-Mayo,2024,All,All,Services,525
ATU Sligo,2024,All,All,Services,595
,2024,All,All,Services,1570
Dublin City University,2024,All,All,Services,335
,2024,All,All,Services,335
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,Services,0
,2024,All,All,Services,0
Dundalk IT,2024,All,All,Services,230
,2024,All,All,Services,230
"Mary Immaculate College, Limerick",2024,All,All,Services,0
,2024,All,All,Services,0
Maynooth University,2024,All,All,Services,220
,2024,All,All,Services,220
MTU Cork,2024,All,All,Services,1105
MTU Kerry,2024,All,All,Services,495
,2024,All,All,Services,1600
National College of Art and Design,2024,All,All,Services,0
,2024,All,All,Services,0
National College of Ireland,2024,All,All,Services,0
,2024,All,All,Services,0
Royal College of Surgeons,2024,All,All,Services,0
,2024,All,All,Services,0
SETU Carlow,2024,All,All,Services,1010
SETU Waterford,2024,All,All,Services,570
,2024,All,All,Services,1580
"St. Angelas College of Home Economics, Sligo",2024,All,All,Services,0
,2024,All,All,Services,0
TU Dublin Blanchardstown,2024,All,All,Services,180
TU Dublin City,2024,All,All,Services,1135
TU Dublin Tallaght,2024,All,All,Services,110
,2024,All,All,Services,1425
TUS Athlone,2024,All,All,Services,240
TUS Limerick,2024,All,All,Services,485
,2024,All,All,Services,725
Trinity College Dublin,2024,All,All,Services,15
,2024,All,All,Services,15
University College Cork,2024,All,All,Services,140
,2024,All,All,Services,140
University College Dublin,2024,All,All,Services,150
,2024,All,All,Services,150
University of Galway,2024,All,All,Services,90
,2024,All,All,Services,90
University of Limerick,2024,All,All,Services,435
,2024,All,All,Services,435
TOTAL,2024,All,All,Services,8510
ATU Donegal,2024,All,All,"Social sciences, journalism and information",0
ATU Galway-Mayo,2024,All,All,"Social sciences, journalism and information",65
ATU Sligo,2024,All,All,"Social sciences, journalism and information",130
,2024,All,All,"Social sciences, journalism and information",195
Dublin City University,2024,All,All,"Social sciences, journalism and information",1895
,2024,All,All,"Social sciences, journalism and information",1895
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,All,"Social sciences, journalism and information",335
,2024,All,All,"Social sciences, journalism and information",335
Dundalk IT,2024,All,All,"Social sciences, journalism and information",130
,2024,All,All,"Social sciences, journalism and information",130
"Mary Immaculate College, Limerick",2024,All,All,"Social sciences, journalism and information",85
,2024,All,All,"Social sciences, journalism and information",85
Maynooth University,2024,All,All,"Social sciences, journalism and information",2200
,2024,All,All,"Social sciences, journalism and information",2200
MTU Cork,2024,All,All,"Social sciences, journalism and information",25
MTU Kerry,2024,All,All,"Social sciences, journalism and information",0
,2024,All,All,"Social sciences, journalism and information",25
National College of Art and Design,2024,All,All,"Social sciences, journalism and information",0
,2024,All,All,"Social sciences, journalism and information",0
National College of Ireland,2024,All,All,"Social sciences, journalism and information",300
,2024,All,All,"Social sciences, journalism and information",300
Royal College of Surgeons,2024,All,All,"Social sciences, journalism and information",0
,2024,All,All,"Social sciences, journalism and information",0
SETU Carlow,2024,All,All,"Social sciences, journalism and information",495
SETU Waterford,2024,All,All,"Social sciences, journalism and information",170
,2024,All,All,"Social sciences, journalism and information",670
"St. Angelas College of Home Economics, Sligo",2024,All,All,"Social sciences, journalism and information",0
,2024,All,All,"Social sciences, journalism and information",0
TU Dublin Blanchardstown,2024,All,All,"Social sciences, journalism and information",115
TU Dublin City,2024,All,All,"Social sciences, journalism and information",375
TU Dublin Tallaght,2024,All,All,"Social sciences, journalism and information",0
,2024,All,All,"Social sciences, journalism and information",490
TUS Athlone,2024,All,All,"Social sciences, journalism and information",90
TUS Limerick,2024,All,All,"Social sciences, journalism and information",330
,2024,All,All,"Social sciences, journalism and information",420
Trinity College Dublin,2024,All,All,"Social sciences, journalism and information",2490
,2024,All,All,"Social sciences, journalism and information",2490
University College Cork,2024,All,All,"Social sciences, journalism and information",2495
,2024,All,All,"Social sciences, journalism and information",2495
University College Dublin,2024,All,All,"Social sciences, journalism and information",3560
,2024,All,All,"Social sciences, journalism and information",3560
University of Galway,2024,All,All,"Social sciences, journalism and information",1870
,2024,All,All,"Social sciences, journalism and information",1870
University of Limerick,2024,All,All,"Social sciences, journalism and information",1120
,2024,All,All,"Social sciences, journalism and information",1120
TOTAL,2024,All,All,"Social sciences, journalism and information",18270
